    clusters_total filtered_by_depth filtered_by_maxH filtered_by_maxN reads_consens nsites nhetero heterozygosity
A03          44769             42841              591              578           759 182184    1411        0.00774
B03          40274             38794              476              501           503 121804    1084        0.00890
C03          46046             44166              523              573           784 199621    1021        0.00511
D03          32915             31983              288              366           278  67566     747        0.01106
E02          40317             38964              463              446           444 101155    1122        0.01109
E03          37890             36829              328              433           300  71814     910        0.01267
F02          35532             34488              331              409           304  73790     899        0.01218
F03          41100             39466              504              509           621 149073    1072        0.00719
G02          39297             37956              414              443           484 114827     941        0.00819
G03          33152             32209              324              377           242  54774     738        0.01347
H02          36926             35714              347              450           415  97754     881        0.00901
H03          44079             42088              560              597           834 182286    1358        0.00745
