     reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
A03       8232                    280                    376                   3733                   8758                     1                        39                 8192
B03       9440                    357                    402                   4878                  11840                     0                        49                 9391
C03       8025                    260                    434                   5521                  14938                     6                        60                 7959
D03       7426                    262                    505                   4515                  16129                     0                        59                 7367
E02       8594                    336                    374                   4472                  12053                     2                        51                 8541
E03       6858                    319                    564                   3730                  14466                     2                        61                 6795
F02       7536                    303                    343                   3395                   8818                     1                        37                 7498
F03       9787                    262                    636                   6708                  15279                     3                        54                 9730
G02       9121                    292                    629                   6860                  14254                     1                        48                 9072
G03       6622                    233                    414                   5410                  11037                     0                        53                 6569
H02       6613                    240                    246                   3090                  11091                     2                        51                 6560
H03      10125                    330                    818                   5778                  12913                     3                        48                10074
