beta  ances 
0.394 0.442
0.393 0.438
0.382 0.440
0.383 0.442
0.383 0.447
0.383 0.444
0.382 0.443
0.382 0.444
0.382 0.444
0.382 0.443
0.381 0.444
0.381 0.444
0.381 0.442
0.380 0.442
0.381 0.442
0.380 0.443
0.381 0.444
0.381 0.444
0.381 0.444
0.380 0.444
0.381 0.444
0.381 0.443
0.381 0.443
0.381 0.443
0.381 0.443
0.381 0.443
0.381 0.444
0.380 0.444
0.380 0.444
0.380 0.444
0.379 0.444
0.379 0.445
0.379 0.445
0.379 0.445
0.380 0.445
0.380 0.445
0.380 0.445
0.380 0.445
0.380 0.445
0.380 0.445
0.380 0.445
0.380 0.445
0.380 0.445
0.380 0.445
0.380 0.445
0.380 0.446
0.380 0.445
0.380 0.445
0.380 0.444
