beta  ances 
0.338 0.582
0.349 0.574
0.348 0.569
0.349 0.568
0.349 0.570
0.349 0.569
0.348 0.569
0.350 0.570
0.350 0.569
0.351 0.570
0.349 0.570
0.350 0.570
0.350 0.570
0.349 0.572
0.350 0.571
0.349 0.572
0.349 0.573
0.349 0.572
0.348 0.572
0.349 0.572
0.350 0.572
0.350 0.572
0.350 0.572
0.350 0.573
0.350 0.573
0.350 0.573
0.350 0.573
0.350 0.573
0.351 0.574
0.350 0.575
0.350 0.575
0.350 0.575
0.350 0.575
0.350 0.575
0.350 0.574
0.349 0.575
0.349 0.575
0.349 0.575
0.349 0.575
0.349 0.575
0.350 0.575
0.350 0.575
0.350 0.574
0.350 0.575
0.350 0.575
0.350 0.575
0.350 0.575
0.350 0.575
0.350 0.574
