beta  ances 
0.394 0.767
0.389 0.754
0.392 0.747
0.390 0.749
0.388 0.750
0.390 0.753
0.390 0.750
0.389 0.751
0.387 0.752
0.387 0.751
0.387 0.749
0.389 0.752
0.389 0.752
0.391 0.754
0.390 0.754
0.390 0.753
0.389 0.752
0.389 0.753
0.388 0.752
0.389 0.752
0.390 0.752
0.389 0.752
0.388 0.752
0.388 0.752
0.389 0.751
0.390 0.752
0.390 0.751
0.389 0.751
0.390 0.751
0.390 0.751
0.390 0.751
0.391 0.751
0.391 0.751
0.390 0.751
0.390 0.751
0.390 0.750
0.391 0.750
0.390 0.750
0.390 0.750
0.390 0.751
0.390 0.751
0.389 0.751
0.389 0.751
0.389 0.751
0.389 0.750
0.389 0.750
0.389 0.750
0.389 0.750
0.389 0.750
