beta  ances 
0.348 0.546
0.356 0.540
0.359 0.540
0.366 0.539
0.364 0.539
0.368 0.536
0.373 0.534
0.375 0.529
0.376 0.529
0.377 0.530
0.377 0.529
0.377 0.529
0.378 0.528
0.377 0.528
0.377 0.530
0.376 0.531
0.376 0.531
0.377 0.531
0.378 0.532
0.377 0.532
0.376 0.532
0.376 0.532
0.376 0.531
0.377 0.532
0.377 0.533
0.376 0.533
0.376 0.533
0.376 0.532
0.376 0.532
0.376 0.532
0.376 0.532
0.375 0.532
0.375 0.532
0.375 0.532
0.376 0.532
0.376 0.532
0.376 0.532
0.375 0.533
0.375 0.533
0.375 0.533
0.375 0.533
0.376 0.533
0.376 0.534
0.376 0.534
0.376 0.534
0.376 0.534
0.376 0.534
0.376 0.534
0.376 0.534
