     reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
A03      70715                  51473                  54881                  98768                 131688                    13                       216                70486
B03      85914                  63546                  68274                 131860                 161357                    16                       308                85590
C03      64481                  47550                  52234                  90049                 115766                     4                       182                64295
D03     109634                  82803                  87079                 173220                 206158                    19                       337               109278
E02     112366                  84794                  89605                 198031                 264849                    16                       389               111961
E03      74948                  56211                  59500                 117613                 129646                    13                       245                74690
F02      67768                  49882                  53926                  98750                 119702                    21                       204                67543
F03      54237                  39490                  43273                  91337                  99110                     9                       176                54052
G02      58490                  42932                  47167                  93401                  97236                    15                       165                58310
G03      72596                  54595                  58122                 129049                 131811                    23                       256                72317
H02      51772                  37696                  40691                  75869                  86457                     5                       208                51559
H03      98976                  73563                  78896                 130405                 172076                    13                       290                98673
